,Movie Name,Release Year,Rating,Description,Genre
58,Nope,2022,6.9,The residents of a lonely gulch in inland California bear witness to an uncanny and chilling discovery.,"['Horror', ' Mystery', ' Sci-Fi']"
59,Harry Potter and the Sorcerer's Stone,2001,7.6,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.","['Adventure', ' Family', ' Fantasy']"
60,Love,2015,6.1,"Murphy is an American living in Paris who enters a highly sexually and emotionally charged relationship with Electra. Unaware of the effect it will have on their relationship, they invite their pretty neighbor into their bed.","['Drama', ' Romance']"
61,Living,2022,7.5,"In 1950s London, a humorless civil servant decides to take time off work to experience life after receiving a grim diagnosis.",['Drama']
62,Fall,2022,6.4,"Best friends Becky and Hunter find themselves at the top of a 2,000-foot radio tower.",['Thriller']
63,When You Finish Saving the World,2022,5.7,"Evelyn and her oblivious son Ziggy seek out replacements for each other as Evelyn desperately tries to parent an unassuming teenager at her shelter, while Ziggy fumbles through his pursuit of a brilliant young woman at school.","['Comedy', ' Drama']"
64,The Wolf of Wall Street,2013,8.2,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.","['Biography', ' Comedy', ' Crime']"
65,Violent Night,2022,6.7,"When a group of mercenaries attack the estate of a wealthy family, Santa Claus must step in to save the day (and Christmas).","['Action', ' Comedy', ' Crime']"
66,Dune,2021,8.0,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.,"['Action', ' Adventure', ' Drama']"
67,American Psycho,2000,7.6,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.","['Crime', ' Drama', ' Horror']"
68,The Woman King,2022,6.7,"A historical epic inspired by true events that took place in The Kingdom of Dahomey, one of the most powerful states of Africa in the 18th and 19th centuries.","['Action', ' Drama', ' History']"
69,Spider-Man: No Way Home,2021,8.2,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.","['Action', ' Adventure', ' Fantasy']"
70,Sick,2022,6.1,"Due to the pandemic, Parker and her best friend decide to quarantine at the family lake house alone - or so they think.","['Horror', ' Thriller']"
71,The Dark Knight,2008,9.0,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","['Action', ' Crime', ' Drama']"
72,The Fallout,2021,7.0,"High schooler Vada navigates the emotional fallout she experiences in the wake of a school tragedy. Relationships with her family, friends and view of the world are forever altered.",['Drama']
73,Thor: Love and Thunder,2022,6.3,"Thor enlists the help of Valkyrie, Korg and ex-girlfriend Jane Foster to fight Gorr the God Butcher, who intends to make the gods extinct.","['Action', ' Adventure', ' Comedy']"
74,Black Swan,2010,8.0,"A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake"".","['Drama', ' Thriller']"
75,Avengers: Endgame,2019,8.4,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.","['Action', ' Adventure', ' Drama']"
76,Bones and All,2022,6.9,"Maren, a young woman, learns how to survive on the margins of society.","['Drama', ' Horror', ' Romance']"
77,Inception,2010,8.8,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.","['Action', ' Adventure', ' Sci-Fi']"
78,Roald Dahl's Matilda the Musical,2022,7.1,"An adaptation of the Tony and Olivier award-winning musical. Matilda tells the story of an extraordinary girl who, armed with a sharp mind and a vivid imagination, dares to take a stand to change her story with miraculous results.","['Comedy', ' Drama', ' Family']"
79,The Unbearable Weight of Massive Talent,2022,7.0,"In this action-packed comedy, Nicolas Cage plays Nick Cage, channeling his iconic characters as he's caught between a superfan (Pedro Pascal) and a CIA agent (Tiffany Haddish).","['Action', ' Comedy', ' Crime']"
80,White Noise,2022,5.7,"Dramatizes a contemporary American family's attempts to deal with the mundane conflicts of everyday life while grappling with the universal mysteries of love, death, and the possibility of happiness in an uncertain world.","['Comedy', ' Drama', ' Horror']"
81,John Wick,2014,7.4,An ex-hit-man comes out of retirement to track down the gangsters that killed his dog and took his car.,"['Action', ' Crime', ' Thriller']"
82,Puss in Boots,2011,6.6,"An outlaw cat, his childhood egg-friend, and a seductive thief kitty set out in search for the eggs of the fabled Golden Goose to clear his name, restore his lost honor, and regain the trust of his mother and town.","['Animation', ' Adventure', ' Comedy']"
83,Whiplash,2014,8.5,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,"['Drama', ' Music']"
84,Ticket to Paradise,2022,6.2,A divorced couple teams up and travels to Bali to stop their daughter from making the same mistake they think they made 25 years ago.,"['Comedy', ' Romance']"
85,Emily the Criminal,2022,6.7,"Down on her luck and saddled with debt, Emily gets involved in a credit card scam that pulls her into the criminal underworld of Los Angeles, ultimately leading to deadly consequences.","['Crime', ' Drama', ' Thriller']"
86,In Bruges,2008,7.9,"Guilt-stricken after a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be.","['Comedy', ' Crime', ' Drama']"
87,Scream,2022,6.3,"25 years after a streak of brutal murders shocked the quiet town of Woodsboro, Calif., a new killer dons the Ghostface mask and begins targeting a group of teenagers to resurrect secrets from the town's deadly past.","['Horror', ' Mystery', ' Thriller']"
88,Hereditary,2018,7.3,A grieving family is haunted by tragic and disturbing occurrences.,"['Drama', ' Horror', ' Mystery']"
89,Parasite,2019,8.5,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,"['Drama', ' Thriller']"
90,The Gentlemen,2019,7.8,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.","['Action', ' Comedy', ' Crime']"
91,Vesper,2022,5.9,"Struggling to survive with her father after the collapse of Earth's ecosystem, 13-year-old Vesper must use her wits, strength and bio-hacking abilities to fight for the future.","['Adventure', ' Drama', ' Sci-Fi']"
92,Gladiator,2000,8.5,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,"['Action', ' Adventure', ' Drama']"
93,The Gray Man,2022,6.5,"When the CIA's most skilled operative, whose true identity is known to none, accidentally uncovers dark agency secrets, a psychopathic former colleague puts a bounty on his head, setting off a global manhunt by international assassins.","['Action', ' Thriller']"
94,Prisoners,2013,8.1,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.","['Crime', ' Drama', ' Mystery']"
95,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"['Action', ' Adventure', ' Drama']"
96,Strange World,2022,5.6,The legendary Clades are a family of explorers whose differences threaten to topple their latest and most crucial mission.,"['Animation', ' Action', ' Adventure']"
97,Midsommar,2019,7.1,A couple travels to Northern Europe to visit a rural hometown's fabled Swedish mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.,"['Drama', ' Horror', ' Mystery']"
98,Candy Land,2022,5.2,"A seemingly naive and devout young woman finds her way in the underground world of truck stop sex workers a.k.a. ""lot lizards.""","['Horror', ' Thriller']"
